atr_pct_max,atr_pct_min,atr_stop_mult,close_position_max,dd_brake_freeze_steps,dd_brake_trigger_pct,fail_fast_bars,fail_fast_min_progress_r,range20_pct_max,require_ema_reject,require_upper_sweep,rr_mult,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,wick_atr_floor_mult
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,RETEST_smx2v2_combo08_stop253_rr5025_t320,top1_retest,3,0.0,320,0.2
0.11,0.0018,2.5,1.0,4,0.035,12,0.1,0.5,False,False,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_01_stop250_rr505,stop250_rr505,3,0.0,320,0.2
0.11,0.0018,2.56,1.0,4,0.035,12,0.1,0.5,False,False,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_02_stop256_rr505,stop256_rr505,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.15,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_03_stop253_rr515,stop253_rr515,3,0.0,320,0.2
0.11,0.0018,2.58,1.0,4,0.035,12,0.1,0.5,False,False,5.1,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_04_stop258_rr510_t340,stop258_rr510_t340,3,0.0,340,0.2
0.11,0.0018,2.48,1.0,4,0.035,12,0.1,0.5,False,False,5.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_05_stop248_rr500_t300,stop248_rr500_t300,3,0.0,300,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_06_score237,score237,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.4,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_07_score240,score240,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.3,SMX2V2_C08_R20_08_dev033,dev033,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.35,SMX2V2_C08_R20_09_dev033_wick135,dev033_wick135,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.38,2.0,0.8,2.5,0.7,0.032,77.0,1.3,SMX2V2_C08_R20_10_rsi77_score238,rsi77_score238,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,True,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_11_ema_reject,ema_reject,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,True,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_12_upper_sweep,upper_sweep,3,0.0,320,0.2
0.11,0.0018,2.53,0.9,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_13_closepos090,closepos090,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,12,0.1,0.45,False,False,5.025,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_14_range45_score237,range45_score237,3,0.0,320,0.2
0.095,0.0018,2.53,1.0,4,0.035,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_15_atrp095,atrp095,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,5,0.032,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_16_dd032_freeze5,dd032_freeze5,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,6,0.03,12,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_17_dd030_freeze6,dd030_freeze6,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,10,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_18_fail10,fail10,3,0.0,320,0.2
0.11,0.0018,2.53,1.0,4,0.035,14,0.1,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_19_fail14_treduce4,fail14_treduce4,4,0.0,320,0.2
0.11,0.0018,2.53,0.92,5,0.032,12,0.1,0.5,False,False,5.08,2.0,1.3,2.39,2.0,0.8,2.5,0.7,0.033,76.0,1.3,SMX2V2_C08_R20_20_hybrid_q4low,hybrid_q4low,3,0.0,320,0.2
