strategy,side,axis,parent,group,entry,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,parent_baseline_trades,parent_trade_ratio,name,quality_tag,dev_long,dev_short,rsi_long_max,rsi_short_min,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,vol_min,body_min,close_pos_long_min,close_pos_short_max,wick_min,ret3_floor,ret5_floor,ret10_floor,ret20_floor,ret3_ceil,ret5_ceil,ret10_ceil,ret20_ceil,trend_required,reclaim_required,anchor_required,breakout_bonus,absorb_bonus,be_r,trail_r,trail_atr,fail_bars,fail_pnl,post_loss_after,post_loss_bars,sym_dd_pct,sym_dd_bars,shock_lb,shock_ret5,shock_range,shock_close_pos
8V15_long_main_001_base_keep,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_001_base_keep,base_keep,0.0,0.0,42.0,0.0,1.18,1.78,12,8,0.0032,0.064,0.21,1.02,0.12,0.56,1.0,0.55,-0.03,-0.06,-0.04,-0.07,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.72,1.06,1.15,5,-0.42,2,8,0.13,14,5,-0.05,0.086,0.24
8V15_long_main_002_extremeclose,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_002_extremeclose,extremeclose,0.0,0.0,44.0,0.0,1.24,1.78,14,11,0.0036000000000000003,0.064,0.21,1.02,0.12,0.56,1.0,0.63,-0.036,-0.06,-0.04,-0.07,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.7999999999999999,1.06,1.15,6,-0.42,2,8,0.13,14,6,-0.05,0.086,0.24
8V15_long_main_003_lowanchor,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_003_lowanchor,lowanchor,0.0,0.0,46.0,0.0,1.2999999999999998,1.78,16,14,0.004,0.064,0.21,1.02,0.12,0.56,1.0,0.7100000000000001,-0.041999999999999996,-0.06,-0.04,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.88,1.06,1.15,7,-0.42,2,8,0.13,14,7,-0.05,0.086,0.24
8V15_long_main_004_soft_rare22,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_004_soft_rare22,soft_rare22,0.0,0.0,48.0,0.0,1.3599999999999999,1.78,18,17,0.0032,0.064,0.21,1.02,0.12,0.56,1.0,0.79,-0.048,-0.06,-0.04,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.96,1.06,1.15,8,-0.42,2,8,0.13,14,8,-0.05,0.086,0.24
8V15_long_main_005_mdd_brake,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_005_mdd_brake,mdd_brake,0.0,0.0,42.0,0.0,1.42,1.78,20,20,0.0036000000000000003,0.064,0.21,1.02,0.12,0.56,1.0,0.8700000000000001,-0.03,-0.066,-0.04,-0.07,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,1.04,1.06,1.15,9,-0.42,3,12,0.13,14,9,-0.05,0.086,0.24
8V15_long_main_006_wick_quality,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_006_wick_quality,wick_quality,0.0,0.0,44.0,0.0,1.18,1.8800000000000001,12,23,0.004,0.064,0.21,1.07,0.12,0.56,1.0,0.9500000000000001,-0.036,-0.066,-0.046,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.72,1.1600000000000001,1.15,5,-0.42,2,12,0.13,14,10,-0.05,0.086,0.24
8V15_long_main_007_ema_reclaim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_007_ema_reclaim,ema_reclaim,0.0,0.0,46.0,0.0,1.24,1.8800000000000001,14,8,0.0032,0.064,0.21,1.07,0.155,0.56,1.0,0.55,-0.041999999999999996,-0.066,-0.046,-0.08,1.0,1.0,1.0,1.0,True,True,False,0.0,0.0,0.7999999999999999,1.1600000000000001,1.15,6,-0.52,2,12,0.15,14,5,-0.056,0.086,0.24
8V15_long_main_008_vol_confirm,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_008_vol_confirm,vol_confirm,0.0,0.0,48.0,0.0,1.2999999999999998,1.8800000000000001,16,11,0.0036000000000000003,0.064,0.21,1.07,0.155,0.5950000000000001,1.0,0.63,-0.048,-0.066,-0.046,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.88,1.1600000000000001,1.15,7,-0.52,2,12,0.15,14,6,-0.056,0.086,0.24
8V15_long_main_009_thin_trail,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_009_thin_trail,thin_trail,0.0,0.0,42.0,0.0,1.3599999999999999,1.8800000000000001,18,14,0.004,0.064,0.19799999999999998,1.07,0.155,0.5950000000000001,1.0,0.7100000000000001,-0.03,-0.072,-0.046,-0.08,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,0.96,1.1600000000000001,1.24,8,-0.52,2,16,0.15,18,7,-0.056,0.086,0.24
8V15_long_main_010_hold_trim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_010_hold_trim,hold_trim,0.0,0.0,44.0,0.0,1.42,1.8800000000000001,20,17,0.0032,0.064,0.19799999999999998,1.07,0.155,0.5950000000000001,1.0,0.79,-0.036,-0.072,-0.046,-0.08,1.0,1.0,1.0,1.0,True,False,False,0.0,0.0,1.04,1.1600000000000001,1.24,9,-0.52,3,16,0.15,18,8,-0.056,0.086,0.24
