run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,use_fail_exit,verdict,note
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_EXIT_ANCHOR,anchor,a016_fixed_entry_baseline,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_EXIT_ANCHOR,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_001,rr_expand,same_stop_bigger_tp,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_RR_001,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_002,rr_expand,same_stop_bigger_tp,long,431,151,280,35.03480278422274,0.3299815878563317,0.3299815878563317,3.5581852953969872,96.76005493612273,597,0,0.01,0.0004,0.08,A016_RR_002,0.85,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_003,rr_expand,same_stop_bigger_tp,long,431,147,284,34.106728538283065,0.5410372284997633,0.5410372284997633,3.6135365309295286,96.90795011967248,597,0,0.01,0.0004,0.08,A016_RR_003,0.85,3.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_004,rr_expand,same_stop_bigger_tp,long,431,145,286,33.64269141531322,0.6663478444991933,0.6663478444991933,3.64643095332855,96.99561897711199,597,0,0.01,0.0004,0.08,A016_RR_004,0.85,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_005,rr_expand,same_stop_bigger_tp,long,431,142,289,32.94663573085847,0.6904882304408888,0.6904882304408888,3.676254912472099,96.98884921047716,597,0,0.01,0.0004,0.08,A016_RR_005,0.85,4.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_006,rr_expand,same_stop_bigger_tp,long,431,142,289,32.94663573085847,0.8695748780942258,0.8695748780942258,3.676254912472099,97.16135217644856,597,0,0.01,0.0004,0.08,A016_RR_006,0.85,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_007,rr_expand,same_stop_bigger_tp,long,431,141,290,32.71461716937355,0.927442273678114,0.927442273678114,3.6899703185632626,97.20324961049431,597,0,0.01,0.0004,0.08,A016_RR_007,0.85,6.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_008,rr_expand,same_stop_bigger_tp,long,431,141,290,32.71461716937355,1.0522594246749728,1.0522594246749728,3.6899703185632626,97.32346104566692,597,0,0.01,0.0004,0.08,A016_RR_008,0.85,8.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_009,tight_stop_big_rr,short_stop_long_tp,long,431,134,297,31.09048723897912,-0.23802839806418286,0.0,2.3872201249912406,97.61277987500875,597,0,0.01,0.0004,0.08,A016_TS_009,0.45,2.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_010,tight_stop_big_rr,short_stop_long_tp,long,431,107,324,24.825986078886313,-0.33352480829798026,0.0,2.5936833451474017,97.4063166548526,597,0,0.01,0.0004,0.08,A016_TS_010,0.45,3.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_011,tight_stop_big_rr,short_stop_long_tp,long,431,97,334,22.505800464037122,-0.10887061029895007,0.0,2.669757519157878,97.33024248084212,597,0,0.01,0.0004,0.08,A016_TS_011,0.45,5.0,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_012,tight_stop_big_rr,short_stop_long_tp,long,431,90,341,20.88167053364269,-0.10162797209753993,0.0,2.7270512107507194,97.27294878924928,597,0,0.01,0.0004,0.08,A016_TS_012,0.45,7.0,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_013,tight_stop_big_rr,short_stop_long_tp,long,431,89,342,20.649651972157773,-0.1299518426024604,0.0,2.734350805970076,97.26564919402992,597,0,0.01,0.0004,0.08,A016_TS_013,0.45,9.0,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_014,tight_stop_big_rr,short_stop_long_tp,long,431,132,299,30.62645011600928,-0.3216085213824105,0.0,2.8456404031975135,97.1543595968025,597,0,0.01,0.0004,0.08,A016_TS_014,0.55,2.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_015,tight_stop_big_rr,short_stop_long_tp,long,431,112,319,25.986078886310903,-0.2903218112040751,0.0,3.03149954023878,96.96850045976122,597,0,0.01,0.0004,0.08,A016_TS_015,0.55,3.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_016,tight_stop_big_rr,short_stop_long_tp,long,431,107,324,24.825986078886313,0.03587671656331004,0.03587671656331004,3.073782772745748,96.96099117148441,597,0,0.01,0.0004,0.08,A016_TS_016,0.55,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_017,tight_stop_big_rr,short_stop_long_tp,long,431,102,329,23.665893271461716,-0.07600396936968679,0.0,3.1198058169374376,96.88019418306256,597,0,0.01,0.0004,0.08,A016_TS_017,0.55,7.0,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_018,tight_stop_big_rr,short_stop_long_tp,long,431,101,330,23.4338747099768,-0.08519220309261,0.0,3.1290053030302523,96.87099469696975,597,0,0.01,0.0004,0.08,A016_TS_018,0.55,9.0,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_019,tight_stop_big_rr,short_stop_long_tp,long,431,134,297,31.09048723897912,-0.2548966289004584,0.0,3.1964069933709927,96.803593006629,597,0,0.01,0.0004,0.08,A016_TS_019,0.65,2.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_020,tight_stop_big_rr,short_stop_long_tp,long,431,122,309,28.306264501160094,-0.054927575137631024,0.0,3.3204563285525235,96.67954367144748,597,0,0.01,0.0004,0.08,A016_TS_020,0.65,3.5,12,48,5,-0.42,1,invalid_no_peak,max_return <= 0
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_021,tight_stop_big_rr,short_stop_long_tp,long,431,115,316,26.68213457076566,0.020268580749194243,0.020268580749194243,3.398367502542332,96.62121227734546,597,0,0.01,0.0004,0.08,A016_TS_021,0.65,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_022,tight_stop_big_rr,short_stop_long_tp,long,431,113,318,26.218097447795824,0.08347831537471873,0.08347831537471873,3.419194348119825,96.6614296814137,597,0,0.01,0.0004,0.08,A016_TS_022,0.65,7.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_023,tight_stop_big_rr,short_stop_long_tp,long,431,113,318,26.218097447795824,0.17293337224095762,0.17293337224095762,3.419194348119825,96.74782609603145,597,0,0.01,0.0004,0.08,A016_TS_023,0.65,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_024,tight_stop_big_rr,short_stop_long_tp,long,431,146,285,33.874709976798144,0.14621607851725837,0.14621607851725837,3.3869631669561473,96.75430062683756,597,0,0.01,0.0004,0.08,A016_TS_024,0.75,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_025,tight_stop_big_rr,short_stop_long_tp,long,431,138,293,32.01856148491879,0.5784374693631245,0.5784374693631245,3.4692431170745275,97.08912695019613,597,0,0.01,0.0004,0.08,A016_TS_025,0.75,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_026,tight_stop_big_rr,short_stop_long_tp,long,431,133,298,30.8584686774942,0.6996628525062443,0.6996628525062443,3.5288024622427083,97.1461706702969,597,0,0.01,0.0004,0.08,A016_TS_026,0.75,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_027,tight_stop_big_rr,short_stop_long_tp,long,431,132,299,30.62645011600928,0.8356753741394662,0.8356753741394662,3.541013612765742,97.26507038261691,597,0,0.01,0.0004,0.08,A016_TS_027,0.75,7.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_028,tight_stop_big_rr,short_stop_long_tp,long,431,132,299,30.62645011600928,0.9311020562334349,0.9311020562334349,3.541013612765742,97.35711799290773,597,0,0.01,0.0004,0.08,A016_TS_028,0.75,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_029,tight_stop_big_rr,short_stop_long_tp,long,431,151,280,35.03480278422274,0.3299815878563317,0.3299815878563317,3.5581852953969872,96.76005493612273,597,0,0.01,0.0004,0.08,A016_TS_029,0.85,2.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_030,tight_stop_big_rr,short_stop_long_tp,long,431,145,286,33.64269141531322,0.6663478444991933,0.6663478444991933,3.64643095332855,96.99561897711199,597,0,0.01,0.0004,0.08,A016_TS_030,0.85,3.5,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_031,tight_stop_big_rr,short_stop_long_tp,long,431,142,289,32.94663573085847,0.8695748780942258,0.8695748780942258,3.676254912472099,97.16135217644856,597,0,0.01,0.0004,0.08,A016_TS_031,0.85,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_032,tight_stop_big_rr,short_stop_long_tp,long,431,141,290,32.71461716937355,1.0069561246687675,1.0069561246687675,3.6899703185632626,97.27982942398427,597,0,0.01,0.0004,0.08,A016_TS_032,0.85,7.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_033,tight_stop_big_rr,short_stop_long_tp,long,431,141,290,32.71461716937355,1.0781478366557185,1.0781478366557185,3.6899703185632626,97.34839418292962,597,0,0.01,0.0004,0.08,A016_TS_033,0.85,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_034,hold_expand,longer_fixed_hold,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,A016_HOLD_034,0.85,2.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
