period,scenario,selected_after_cap,selected_before_cap,spec
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_capnone,97945,97945,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_capnone,8551,8551,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_capnone,1182,1182,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
BASE,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_cap50,107419,107678,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_cap50,99019,99127,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_cap50,97866,97945,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_cap50,8408,8551,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd120_h120_k1_short_cap50,1153,1182,btc_rb_z3.75_gap1.5_cd120_h120_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_capnone,104672,104672,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_capnone,96296,96296,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_capnone,95145,95145,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_capnone,8376,8376,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_capnone,1151,1151,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_cap50,104484,104672,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_cap50,96222,96296,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_cap50,95089,95145,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_cap50,8269,8376,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h120_k1_short_cap50,1133,1151,btc_rb_z3.75_gap1.5_cd144_h120_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,115621,115621,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,105719,105719,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,104347,104347,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,9902,9902,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,1372,1372,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,111467,115621,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,103311,105719,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,102240,104347,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,8170,9902,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,1071,1372,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,115621,115621,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,105719,105719,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,104347,104347,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,9902,9902,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_capnone,1372,1372,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,111467,115621,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,103311,105719,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,102240,104347,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,8170,9902,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h144_k1_short_cap50,1071,1372,btc_rb_z3.75_gap0.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,109141,109141,btc_rb_z3.75_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,100145,100145,btc_rb_z3.75_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,98883,98883,btc_rb_z3.75_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,8996,8996,btc_rb_z3.75_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,1262,1262,btc_rb_z3.75_gap1_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,106806,109141,btc_rb_z3.75_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,98861,100145,btc_rb_z3.75_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,97805,98883,btc_rb_z3.75_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,7955,8996,btc_rb_z3.75_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,1056,1262,btc_rb_z3.75_gap1_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,109141,109141,btc_rb_z3.75_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,100145,100145,btc_rb_z3.75_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,98883,98883,btc_rb_z3.75_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,8996,8996,btc_rb_z3.75_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1_cd144_h144_k1_short_capnone,1262,1262,btc_rb_z3.75_gap1_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,106806,109141,btc_rb_z3.75_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,98861,100145,btc_rb_z3.75_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,97805,98883,btc_rb_z3.75_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,7955,8996,btc_rb_z3.75_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1_cd144_h144_k1_short_cap50,1056,1262,btc_rb_z3.75_gap1_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,104666,104666,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,96296,96296,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,95145,95145,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,8370,8370,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,1151,1151,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,103378,104666,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,95642,96296,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,94605,95145,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,7750,8370,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,1037,1151,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,104666,104666,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,96296,96296,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,95145,95145,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,8370,8370,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_capnone,1151,1151,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
BASE,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,103378,104666,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,95642,96296,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,94605,95145,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,7750,8370,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1.5_cd144_h144_k1_short_cap50,1037,1151,btc_rb_z3.75_gap1.5_cd144_h144_k1_short
BASE,btc_rb_z4_gap0.5_cd120_h120_k1_short_capnone,107573,107573,btc_rb_z4_gap0.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_capnone,98090,98090,btc_rb_z4_gap0.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_capnone,96768,96768,btc_rb_z4_gap0.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_capnone,9483,9483,btc_rb_z4_gap0.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd120_h120_k1_short_capnone,1322,1322,btc_rb_z4_gap0.5_cd120_h120_k1_short
BASE,btc_rb_z4_gap0.5_cd120_h120_k1_short_cap50,106535,107573,btc_rb_z4_gap0.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_cap50,97637,98090,btc_rb_z4_gap0.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_cap50,96432,96768,btc_rb_z4_gap0.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd120_h120_k1_short_cap50,8903,9483,btc_rb_z4_gap0.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd120_h120_k1_short_cap50,1205,1322,btc_rb_z4_gap0.5_cd120_h120_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h120_k1_short_capnone,104612,104612,btc_rb_z4_gap0.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_capnone,95333,95333,btc_rb_z4_gap0.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_capnone,94048,94048,btc_rb_z4_gap0.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_capnone,9279,9279,btc_rb_z4_gap0.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h120_k1_short_capnone,1285,1285,btc_rb_z4_gap0.5_cd144_h120_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h120_k1_short_cap50,103755,104612,btc_rb_z4_gap0.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_cap50,94978,95333,btc_rb_z4_gap0.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_cap50,93788,94048,btc_rb_z4_gap0.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h120_k1_short_cap50,8783,9279,btc_rb_z4_gap0.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h120_k1_short_cap50,1190,1285,btc_rb_z4_gap0.5_cd144_h120_k1_short
BASE,btc_rb_z4_gap1_cd120_h120_k1_short_capnone,100255,100255,btc_rb_z4_gap1_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_capnone,91770,91770,btc_rb_z4_gap1_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_capnone,90569,90569,btc_rb_z4_gap1_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_capnone,8485,8485,btc_rb_z4_gap1_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd120_h120_k1_short_capnone,1201,1201,btc_rb_z4_gap1_cd120_h120_k1_short
BASE,btc_rb_z4_gap1_cd120_h120_k1_short_cap50,99901,100255,btc_rb_z4_gap1_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_cap50,91621,91770,btc_rb_z4_gap1_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_cap50,90472,90569,btc_rb_z4_gap1_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd120_h120_k1_short_cap50,8284,8485,btc_rb_z4_gap1_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd120_h120_k1_short_cap50,1149,1201,btc_rb_z4_gap1_cd120_h120_k1_short
BASE,btc_rb_z4_gap1_cd144_h120_k1_short_capnone,97686,97686,btc_rb_z4_gap1_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_capnone,89354,89354,btc_rb_z4_gap1_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_capnone,88183,88183,btc_rb_z4_gap1_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_capnone,8332,8332,btc_rb_z4_gap1_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h120_k1_short_capnone,1171,1171,btc_rb_z4_gap1_cd144_h120_k1_short
BASE,btc_rb_z4_gap1_cd144_h120_k1_short_cap50,97402,97686,btc_rb_z4_gap1_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_cap50,89243,89354,btc_rb_z4_gap1_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_cap50,88112,88183,btc_rb_z4_gap1_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h120_k1_short_cap50,8164,8332,btc_rb_z4_gap1_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h120_k1_short_cap50,1131,1171,btc_rb_z4_gap1_cd144_h120_k1_short
BASE,btc_rb_z4_gap1.5_cd120_h120_k1_short_capnone,95276,95276,btc_rb_z4_gap1.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_capnone,87457,87457,btc_rb_z4_gap1.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_capnone,86373,86373,btc_rb_z4_gap1.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_capnone,7819,7819,btc_rb_z4_gap1.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1.5_cd120_h120_k1_short_capnone,1084,1084,btc_rb_z4_gap1.5_cd120_h120_k1_short
BASE,btc_rb_z4_gap1.5_cd120_h120_k1_short_cap50,95186,95276,btc_rb_z4_gap1.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_cap50,87420,87457,btc_rb_z4_gap1.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_cap50,86343,86373,btc_rb_z4_gap1.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1.5_cd120_h120_k1_short_cap50,7773,7819,btc_rb_z4_gap1.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1.5_cd120_h120_k1_short_cap50,1077,1084,btc_rb_z4_gap1.5_cd120_h120_k1_short
BASE,btc_rb_z4_gap1.5_cd144_h120_k1_short_capnone,92908,92908,btc_rb_z4_gap1.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_capnone,85227,85227,btc_rb_z4_gap1.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_capnone,84169,84169,btc_rb_z4_gap1.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_capnone,7681,7681,btc_rb_z4_gap1.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1.5_cd144_h120_k1_short_capnone,1058,1058,btc_rb_z4_gap1.5_cd144_h120_k1_short
BASE,btc_rb_z4_gap1.5_cd144_h120_k1_short_cap50,92848,92908,btc_rb_z4_gap1.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_cap50,85203,85227,btc_rb_z4_gap1.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_cap50,84147,84169,btc_rb_z4_gap1.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z4_gap1.5_cd144_h120_k1_short_cap50,7652,7681,btc_rb_z4_gap1.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1.5_cd144_h120_k1_short_cap50,1056,1058,btc_rb_z4_gap1.5_cd144_h120_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,104606,104606,btc_rb_z4_gap0.5_cd144_h144_k1_short
EX_2025Q4,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,95333,95333,btc_rb_z4_gap0.5_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,94048,94048,btc_rb_z4_gap0.5_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,9273,9273,btc_rb_z4_gap0.5_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,1285,1285,btc_rb_z4_gap0.5_cd144_h144_k1_short
BASE,btc_rb_z4_gap0.5_cd144_h144_k1_short_cap50,101784,104606,btc_rb_z4_gap0.5_cd144_h144_k1_short
